IdE,IdA,IdB,Album,Genres,Label,Time,TrackName,Price,Artist,Released,Rating,IdD,Type
1,1,s_927,1989,"Pop, Music, Rock","2014 Big Machine Records, LLC.",00:03:32,Welcome To New York,$1.29,Taylor Swift,2014-10-27 00:00:00,2,,Clean
2,3,s_929,1989,"Pop, Music, Rock","2014 Big Machine Records, LLC.",00:03:51,Style,$1.29,Taylor Swift,2014-10-27 00:00:00,2.666666667,,Clean
3,5,s_931,1989,"Pop, Music, Rock","2014 Big Machine Records, LLC.",00:03:13,All You Had To Do Was Stay,$1.29,Taylor Swift,2014-10-27 00:00:00,0.666666667,,Clean
4,7,s_933,1989,"Pop, Music, Rock","2014 Big Machine Records, LLC.",00:03:27,I Wish You Would,$1.29,Taylor Swift,2014-10-27 00:00:00,0.333333333,,Clean
5,8,s_934,1989,"Pop, Music, Rock","2014 Big Machine Records, LLC.",00:03:31,Bad Blood,$1.29,Taylor Swift,2014-10-27 00:00:00,2.666666667,,Clean
6,9,s_935,1989,"Pop, Music, Rock","2014 Big Machine Records, LLC.",00:03:40,Wildest Dreams,$1.29,Taylor Swift,2014-10-27 00:00:00,3.333333333,,Clean
7,10,s_936,1989,"Pop, Music, Rock","2014 Big Machine Records, LLC.",00:04:07,How You Get the Girl,$1.29,Taylor Swift,2014-10-27 00:00:00,0.666666667,,Clean
8,11,s_937,1989,"Pop, Music, Rock","2014 Big Machine Records, LLC.",00:04:10,This Love,$1.29,Taylor Swift,2014-10-27 00:00:00,0.666666667,,Clean
9,12,s_938,1989,"Pop, Music, Rock","2014 Big Machine Records, LLC.",00:03:15,I Know Places,$1.29,Taylor Swift,2014-10-27 00:00:00,0.666666667,,Clean
10,13,s_939,1989,"Pop, Music, Rock","2014 Big Machine Records, LLC.",00:04:31,Clean,$1.29,Taylor Swift,2014-10-27 00:00:00,0.666666667,,Clean
11,224,s_912,Anti (Deluxe) [Explicit],"Pop, Music",2016 Westbury Road Entertainment.,00:01:12,James Joint [Explicit],$1.29,Rihanna,2016-01-29 00:00:00,2.333333333,,Explicit
12,225,s_913,Anti (Deluxe) [Explicit],"Pop, Music",2016 Westbury Road Entertainment.,00:04:13,Kiss It Better [Explicit],$1.29,Rihanna,2016-01-29 00:00:00,1.666666667,,Explicit
13,231,s_919,Anti (Deluxe) [Explicit],"Pop, Music",2016 Westbury Road Entertainment.,00:06:37,Same Ol? Mistakes,$1.29,Rihanna,2016-01-29 00:00:00,0.666666667,,Explicit
14,234,s_922,Anti (Deluxe) [Explicit],"Pop, Music",2016 Westbury Road Entertainment.,00:02:00,Higher [Explicit],$1.29,Rihanna,2016-01-29 00:00:00,0.333333333,,Explicit
15,235,s_923,Anti (Deluxe) [Explicit],"Pop, Music",2016 Westbury Road Entertainment.,00:03:57,Close to You,$1.29,Rihanna,2016-01-29 00:00:00,4.333333333,,Explicit
16,237,s_925,Anti (Deluxe) [Explicit],"Pop, Music",2016 Westbury Road Entertainment.,00:02:24,Pose [Explicit],$1.29,Rihanna,2016-01-29 00:00:00,0.333333333,,Explicit
17,238,s_926,Anti (Deluxe) [Explicit],"Pop, Music",2016 Westbury Road Entertainment.,00:03:26,Sex With Me [Explicit],$1.29,Rihanna,2016-01-29 00:00:00,2.666666667,,Explicit
18,395,s_913,Anti (Deluxe) [Explicit],"Pop, Music",2016 Westbury Road Entertainment.,00:04:13,Kiss It Better [Explicit],$1.29,Rihanna,2016-01-29 00:00:00,1.666666667,,Explicit
19,398,s_916,Anti (Deluxe) [Explicit],"Pop, Music",2016 Westbury Road Entertainment.,00:03:55,Woo [Explicit],$1.29,Rihanna,2016-01-29 00:00:00,4.333333333,,Explicit
