SNo, Album, SongName, Artist, Time, Price, Genres, Released, Rights
1,1989, Welcome To New York, Taylor Swift, 3:32,$1.29 ,"Pop, Music, Rock","Oct 27, 2014","2014 Big Machine Records, LLC."
2,1989, Blank Space, Taylor Swift, 3:51,$1.29 ,"Pop, Music,Rock","Oct 27, 2014","2014 Big Machine Records, LLC."
3,1989, Style, Taylor Swift, 3:51,$1.29 ,"Pop, Music, Rock","Oct 27, 2014","2014 Big Machine Records, LLC."
4,1989, Out of the Woods, Taylor Swift, 3:55,$1.29 ,"Pop, Music, Rock","Oct 27, 2014","2014 Big Machine Records, LLC."
5,1989, All You Had To Do Was Stay, Taylor Swift, 3:13,$1.29 ,"Pop, Music, Rock"," Oct 27, 2014","2014 Big Machine Records, LLC."
6,1989, Shake It Off, Taylor Swift, 3:39,$1.29 ,"Pop, Music, Rock","Oct 27, 2014","2014 Big Machine Records, LLC."
7,1989, I Wish You Would, Taylor Swift, 3:27,$1.29 ,"Pop, Music, Rock","Oct 27, 2014","2014 Big Machine Records, LLC."
8,1989, Bad Blood, Taylor Swift, 3:31,$1.29 ,"Pop, Music, Rock","Oct 27, 2014","2014 Big Machine Records, LLC."
9,1989, Wildest Dreams, Taylor Swift, 3:40,$1.29 ,"Pop, Music, Rock","Oct 27, 2014","2014 Big Machine Records, LLC."
10,1989, How You Get the Girl, Taylor Swift, 4:07,$1.29 ,"Pop, Music, Rock","Oct 27, 2014","2014 Big Machine Records, LLC."
11,1989, This Love, Taylor Swift, 4:10,$1.29 ,"Pop, Music, Rock","Oct 27, 2014","2014 Big Machine Records, LLC."
12,1989, I Know Places, Taylor Swift, 3:15, $1.29 ,"Pop, Music, Rock","Oct 27, 2014","2014 Big Machine Records, LLC."
13,1989, Clean, Taylor Swift, 4:31, $1.29 ,"Pop, Music, Rock","Oct 27, 2014","2014 Big Machine Records, LLC."
14, Red, State of Grace, Taylor Swift, 4:55,$1.29 ,"Country, Music, Rock, Contemporary Country, Honky Tonk, Pop, Teen Pop","Oct 22, 2012","2012 Big Machine Records, LLC."
