Id,Album,Genres,Label,Time,Rating,TrackName,Price,Artist,Released
d_2,Mad Love. (Deluxe) [Explicit],Pop,Atlantic Records,3:20,2,I Can Only. (feat. Alessia Cara),$1.29,JOJO,"14-Oct-16"
d_3,Mad Love. (Deluxe) [Explicit],Pop,Atlantic Records,3:15,3.333333333,F*** Apologies. (feat. Wiz Khalifa) [Explicit],$0.69,JOJO,"14-Oct-16"
d_4,Mad Love. (Deluxe) [Explicit],Pop,Atlantic Records,3:35,5,FAB. (feat. Remy Ma) [Explicit],$1.29,JOJO,"14-Oct-16"
d_27,Voodoo [Explicit],Rap & Hip-Hop,Brainsick Muzik,6:21,4,Brain Damage (feat. Iso & Bleezo) [Explicit],$0.99,Twisted Insane,"18-Dec-15"
d_29,Voodoo [Explicit],Rap & Hip-Hop,Brainsick Muzik,3:41,4,Voodoo [Explicit],$0.99,Twisted Insane,"18-Dec-15"
d_30,Voodoo [Explicit],Rap & Hip-Hop,Brainsick Muzik,4:04,5,The Chop Shop [Explicit],$0.99,Twisted Insane,"18-Dec-15"
d_33,Voodoo [Explicit],Rap & Hip-Hop,Brainsick Muzik,2:01,2,200 Round Clip [Explicit],$0.99,Twisted Insane,"18-Dec-15"
d_34,Voodoo [Explicit],Rap & Hip-Hop,Brainsick Muzik,1:52,4,Sweet Dreams [Explicit],$0.99,Twisted Insane,"18-Dec-15"
d_40,Big Baby D.R.A.M. [Explicit],Rap & Hip-Hop,EMPIRE / Atlantic Recording Corporation,4:05,5,WiFi [Explicit],$1.29,D.R.A.M.,"21-Oct-16"
d_41,Big Baby D.R.A.M. [Explicit],Rap & Hip-Hop,EMPIRE / Atlantic Recording Corporation,3:01,3.666666667,Cash Machine [Explicit],$1.29,D.R.A.M.,"21-Oct-16"
d_42,Big Baby D.R.A.M. [Explicit],Rap & Hip-Hop,EMPIRE / Atlantic Recording Corporation,3:45,5,Broccoli [Explicit],$1.29,D.R.A.M.,"21-Oct-16"
d_50,Royalty (Deluxe Version) [Explicit],R&B,RCA Records Label,3:21,5,Back To Sleep [Explicit],$1.29,Chris Brown,"18-Dec-16"
d_53,Royalty (Deluxe Version) [Explicit],R&B,RCA Records Label,3:50,2.666666667,Make Love,$1.29,Chris Brown,"18-Dec-16"
d_54,Royalty (Deluxe Version) [Explicit],R&B,RCA Records Label,3:44,3.666666667,Liquor [Explicit],$1.29,Chris Brown,"18-Dec-16"
d_55,Royalty (Deluxe Version) [Explicit],R&B,RCA Records Label,3:34,2.666666667,Zero [Explicit],$1.29,Chris Brown,"18-Dec-16"
d_57,Royalty (Deluxe Version) [Explicit],R&B,RCA Records Label,3:13,3,Picture Me Rollin' [Explicit],$1.29,Chris Brown,"18-Dec-16"
d_58,Royalty (Deluxe Version) [Explicit],R&B,RCA Records Label,4:33,2,Who's Gonna (Nobody) [Explicit],$1.29,Chris Brown,"18-Dec-16"
d_59,Royalty (Deluxe Version) [Explicit],R&B,RCA Records Label,4:25,2,Discover [Explicit],$1.29,Chris Brown,"18-Dec-16"
d_63,Royalty (Deluxe Version) [Explicit],R&B,RCA Records Label,4:20,2.333333333,Little More (Royalty),$1.29,Chris Brown,"18-Dec-16"
d_72,SremmLife 2 (Deluxe) [Explicit],Rap & Hip-Hop,Eardruma/Interscope Records,4:51,5,Black Beatles [feat. Gucci Mane] [Explicit],$1.29,Rae Sremmurd,"12-Aug-16"
