_id,ltable_Id,rtable_Id,ltable_Artist,ltable_TrackName,ltable_Released,ltable_Time,rtable_Artist,rtable_TrackName,rtable_Released,rtable_Time
0,1,s_927, Taylor Swift, Welcome To New York,27-Oct-14, 3:32,Taylor Swift,Welcome To New York,27-Oct-14,3:32
1,2,s_928, Taylor Swift, Blank Space,27-Oct-14, 3:51,Taylor Swift,Blank Space,27-Oct-14,3:51
2,2,s_929, Taylor Swift, Blank Space,27-Oct-14, 3:51,Taylor Swift,Style,27-Oct-14,3:51
3,3,s_928, Taylor Swift, Style,27-Oct-14, 3:51,Taylor Swift,Blank Space,27-Oct-14,3:51
4,3,s_929, Taylor Swift, Style,27-Oct-14, 3:51,Taylor Swift,Style,27-Oct-14,3:51
5,4,s_930, Taylor Swift, Out of the Woods,27-Oct-14, 3:55,Taylor Swift,Out Of The Woods,27-Oct-14,3:55
6,5,s_931, Taylor Swift, All You Had To Do Was Stay,28-Oct-14, 3:13,Taylor Swift,All You Had To Do Was Stay,27-Oct-14,3:13
7,6,s_932, Taylor Swift, Shake It Off,27-Oct-14, 3:39,Taylor Swift,Shake It Off,27-Oct-14,3:39
8,7,s_933, Taylor Swift, I Wish You Would,27-Oct-14, 3:27,Taylor Swift,I Wish You Would,27-Oct-14,3:27
9,8,s_934, Taylor Swift, Bad Blood,27-Oct-14, 3:31,Taylor Swift,Bad Blood,27-Oct-14,3:31
10,9,s_935, Taylor Swift, Wildest Dreams,27-Oct-14, 3:40,Taylor Swift,Wildest Dreams,27-Oct-14,3:40
11,10,s_936, Taylor Swift, How You Get the Girl,27-Oct-14, 4:07,Taylor Swift,How You Get The Girl,27-Oct-14,4:07
12,11,s_1857, Taylor Swift, This Love,27-Oct-14, 4:10,DeBarge,All This Love,25-Oct-10,5:53
13,11,s_2567, Taylor Swift, This Love,27-Oct-14, 4:10,DeBarge,All This Love,25-Mar-97,5:53
14,11,s_937, Taylor Swift, This Love,27-Oct-14, 4:10,Taylor Swift,This Love,27-Oct-14,4:10
15,12,s_938, Taylor Swift, I Know Places,27-Oct-14, 3:15,Taylor Swift,I Know Places,27-Oct-14,3:15
16,13,s_939, Taylor Swift, Clean,27-Oct-14, 4:31,Taylor Swift,Clean,27-Oct-14,4:31
17,34,s_1755, Taylor Swift, White Horse,11-Nov-08, 3:54,John Carpenter,White Pulse,15-Apr-16,4:20
18,37,s_2591, Taylor Swift, Tell Me Why,11-Nov-08, 3:20,Various artists,Tell Me Baby,26-Feb-16,3:24
19,38,s_441, Taylor Swift, You're Not Sorry,11-Nov-08, 4:21,Lukas Graham,You're Not There,1-Apr-16,3:22
20,42,s_1766, Taylor Swift, Change,11-Nov-08, 4:40,MuteMath,Changes,23-Sep-16,3:54
21,47,s_2531, Taylor Swift, Dear John,25-Oct-10, 6:43,Joe Walsh,Dear John,12-Jun-07,2:40
22,64,s_695, Taylor Swift, Stay Beautiful,26-Oct-06, 3:56,Tony Bennett and Lady Gaga,But Beautiful,23-Sep-14,4:04
23,67,s_511, Taylor Swift, Our Song,24-Oct-06, 3:21,Elton John,Your Song,12-Nov-02,4:05
24,83,s_2713, Taylor Swift, Other Side of the Door,26-Oct-09, 3:57,Erykah Badu,Other Side Of The Game,11-Feb-97,6:33
25,88,s_1755, Taylor Swift, White Horse,26-Oct-09, 3:54,John Carpenter,White Pulse,15-Apr-16,4:20
26,91,s_2591, Taylor Swift, Tell Me Why,26-Oct-09, 3:20,Various artists,Tell Me Baby,26-Feb-16,3:24
27,92,s_441, Taylor Swift, You're Not Sorry,26-Oct-09, 4:21,Lukas Graham,You're Not There,1-Apr-16,3:22
28,96,s_1766, Taylor Swift, Change,26-Oct-09, 4:41,MuteMath,Changes,23-Sep-16,3:54
29,97,s_1766, Taylor Swift, Change,26-Oct-09, 4:32,MuteMath,Changes,23-Sep-16,3:54
30,100,s_1755, Taylor Swift, White Horse,26-Oct-09, 4:04,John Carpenter,White Pulse,15-Apr-16,4:20
31,116,s_2478, Taylor Swift, Mine (Live),21-Nov-11, 4:19,Tye Tribbett & G.A.,Sinking (Live),23-May-06,7:19
32,119,s_2468, Taylor Swift, Ours (Live),21-Nov-11, 4:05,Tye Tribbett & G.A.,Intro (Live),23-May-06,2:03
33,126,s_1538, Taylor Swift, I Want You Back (Live),21-Nov-11, 1:23,Jackson 5,I Want You Back,26-Oct-99,3:00
34,126,s_2469, Taylor Swift, I Want You Back (Live),21-Nov-11, 1:23,Tye Tribbett & G.A.,I Want It All Back (Live),23-May-06,5:28
35,126,s_627, Taylor Swift, I Want You Back (Live),21-Nov-11, 1:23,Michael Jackson,I Want You Back,5-Jul-05,2:58
36,206,s_1563, Taylor Swift, Wonderland,17-Feb-15, 4:05,Earth Wind and Fire,Boogie Wonderland,17-Nov-98,4:47
37,223,s_911, Rihanna, Consideration (feat. SZA),29-Jan-16, 2:41,Rihanna,Consideration [feat. SZA] [Explicit],29-Jan-16,2:41
38,224,s_912, Rihanna, James Joint,29-Jan-16, 1:12,Rihanna,James Joint [Explicit],29-Jan-16,1:12
39,225,s_913, Rihanna, Kiss It Better,29-Jan-16, 4:13,Rihanna,Kiss It Better [Explicit],29-Jan-16,4:13
40,226,s_914, Rihanna, Work (feat. Drake),29-Jan-16, 3:39,Rihanna,Work [feat. Drake] [Explicit],29-Jan-16,3:39
41,227,s_915, Rihanna, Desperado,29-Jan-16, 3:06,Rihanna,Desperado,29-Jan-16,3:06
42,228,s_916, Rihanna, Woo,29-Jan-16, 3:55,Rihanna,Woo [Explicit],29-Jan-16,3:55
43,229,s_917, Rihanna, Needed Me,29-Jan-16, 3:11,Rihanna,Needed Me [Explicit],29-Jan-16,3:11
44,231,s_919, Rihanna, Same Ol? Mistakes,29-Jan-16, 6:37,Rihanna,Same Ol' Mistakes,29-Jan-16,6:37
45,232,s_920, Rihanna, Never Ending,29-Jan-16, 3:22,Rihanna,Never Ending,29-Jan-16,3:22
46,233,s_923, Rihanna, Love on the Brain,29-Jan-16, 3:43,Rihanna,Close To You,29-Jan-16,3:43
47,233,s_961, Rihanna, Love on the Brain,29-Jan-16, 3:43,Adele,Love in the Dark,20-Nov-15,4:45
48,234,s_413, Rihanna, Higher,29-Jan-16, 2:00,Carly Rae Jepsen,Higher,26-Aug-16,3:54
49,234,s_922, Rihanna, Higher,29-Jan-16, 2:00,Rihanna,Higher [Explicit],29-Jan-16,2:00
50,235,s_923, Rihanna, Close to You,29-Jan-16, 3:57,Rihanna,Close To You,29-Jan-16,3:43
51,236,s_1597, Rihanna, Goodnight Gotham,29-Jan-16, 1:28,Tears For Fears,Goodnight Song,25-Sep-01,3:52
52,236,s_924, Rihanna, Goodnight Gotham,29-Jan-16, 1:28,Rihanna,Goodnight Gotham,29-Jan-16,1:28
53,237,s_925, Rihanna, Pose,29-Jan-16, 2:24,Rihanna,Pose [Explicit],29-Jan-16,2:24
54,238,s_926, Rihanna, Sex with Me,29-Jan-16, 3:26,Rihanna,Sex With Me [Explicit],29-Jan-16,3:26
55,252,s_2273, Rihanna, Fool In Love,21-Nov-11, 4:16,Monophonics,Foolish Love,6-Oct-14,7:45
56,252,s_844, Rihanna, Fool In Love,21-Nov-11, 4:16,Britt Nicole,Fallin In Love,7-Oct-16,4:11
57,255,s_909, Rihanna, Diamonds,1-Jan-12, 3:45,Barry Gibb,Diamonds,7-Oct-16,5:17
58,276,s_2554, Rihanna, Shut Up and Drive,1-Jan-08, 3:32,Various artists,Shut Up And Climb,22-Aug-16,4:36
59,279,s_2591, Rihanna, Sell Me Candy,1-Jan-08, 2:45,Various artists,Tell Me Baby,26-Feb-16,3:24
60,290,s_1321, Rihanna, What's My Name? (feat. Drake),1-Jan-10, 4:23,ODESZA,Say My Name (feat. Zyra),18-Sep-15,4:23
61,295,s_2530, Rihanna, Man Down,1-Jan-10, 4:27,Joe Walsh,Good Man Down,12-Jun-07,4:14
62,295,s_2555, Rihanna, Man Down,1-Jan-10, 4:27,Various artists,First Man Down,22-Aug-16,3:55
63,302,s_504, Rihanna, Mad House,1-Jan-09, 1:34,Jimi Hendrix,Red House,1-Jan-10,3:50
64,304,s_1810, Rihanna, Hard (feat. Jeezy),1-Jan-09, 4:10,Various artists,Stars (feat. Haley),5-Sep-16,3:52
65,313,s_1788, Rihanna, Cold Case Love,1-Jan-09, 6:04,RY X,Hold Me Love,6-May-16,3:13
66,313,s_502, Rihanna, Cold Case Love,1-Jan-09, 6:04,Jimi Hendrix,Bold as Love,1-Jan-10,4:11
67,316,s_909, Rihanna, Diamonds,1-Jan-12, 3:45,Barry Gibb,Diamonds,7-Oct-16,5:17
68,337,s_232, Rihanna, Selfish Girl,1-Jan-06, 3:37,Meghan Trainor,My Selfish Heart,13-Jan-15,3:46
69,354,s_504, Rihanna, Mad House,23-Nov-09, 1:34,Jimi Hendrix,Red House,1-Jan-10,3:50
70,362,s_88, Rihanna, Photographs,23-Nov-09, 4:46,Ed Sheeran,Photograph,23-Jun-14,4:19
71,365,s_1788, Rihanna, Cold Case Love,23-Nov-09, 6:04,RY X,Hold Me Love,6-May-16,3:13
72,365,s_502, Rihanna, Cold Case Love,23-Nov-09, 6:04,Jimi Hendrix,Bold as Love,1-Jan-10,4:11
73,372,s_412, Rihanna, Last Time,1-Jan-05, 4:53,Carly Rae Jepsen,First Time,26-Aug-16,3:35
74,372,s_426, Rihanna, Last Time,1-Jan-05, 4:53,Idina Menzel,Last Time,23-Sep-16,3:57
75,381,s_1321, Rihanna, What's My Name? (feat. Drake),1-Jan-10, 4:23,ODESZA,Say My Name (feat. Zyra),18-Sep-15,4:23
76,386,s_2530, Rihanna, Man Down,1-Jan-10, 4:27,Joe Walsh,Good Man Down,12-Jun-07,4:14
77,386,s_2555, Rihanna, Man Down,1-Jan-10, 4:27,Various artists,First Man Down,22-Aug-16,3:55
78,393,s_911, Rihanna, Consideration (feat. SZA),29-Jan-16, 2:41,Rihanna,Consideration [feat. SZA] [Explicit],29-Jan-16,2:41
79,394,s_912, Rihanna, James Joint,29-Jan-16, 1:12,Rihanna,James Joint [Explicit],29-Jan-16,1:12
80,395,s_913, Rihanna, Kiss It Better,29-Jan-16, 4:13,Rihanna,Kiss It Better [Explicit],29-Jan-16,4:13
81,396,s_914, Rihanna, Work (feat. Drake),29-Jan-16, 3:39,Rihanna,Work [feat. Drake] [Explicit],29-Jan-16,3:39
82,397,s_915, Rihanna, Desperado,29-Jan-16, 3:06,Rihanna,Desperado,29-Jan-16,3:06
83,398,s_916, Rihanna, Woo,29-Jan-16, 3:55,Rihanna,Woo [Explicit],29-Jan-16,3:55
84,399,s_917, Rihanna, Needed Me,29-Jan-16, 3:11,Rihanna,Needed Me [Explicit],29-Jan-16,3:11
85,401,s_919, Rihanna, Same Ol? Mistakes,29-Jan-16, 6:37,Rihanna,Same Ol' Mistakes,29-Jan-16,6:37
86,402,s_920, Rihanna, Never Ending,29-Jan-16, 3:22,Rihanna,Never Ending,29-Jan-16,3:22
87,403,s_923, Rihanna, Love On the Brain,29-Jan-16, 3:43,Rihanna,Close To You,29-Jan-16,3:43
88,403,s_961, Rihanna, Love On the Brain,29-Jan-16, 3:43,Adele,Love in the Dark,20-Nov-15,4:45
89,404,s_413, Rihanna, Higher,29-Jan-16, 2:00,Carly Rae Jepsen,Higher,26-Aug-16,3:54
90,404,s_922, Rihanna, Higher,29-Jan-16, 2:00,Rihanna,Higher [Explicit],29-Jan-16,2:00
91,405,s_1308, Rihanna, Close To You,29-Jan-16, 3:57,The Cure,Close To Me,13-Nov-01,3:40
92,405,s_923, Rihanna, Close To You,29-Jan-16, 3:57,Rihanna,Close To You,29-Jan-16,3:43
93,406,s_1597, Rihanna, Goodnight Gotham,29-Jan-16, 1:28,Tears For Fears,Goodnight Song,25-Sep-01,3:52
