Album,Rating,Genres,ASIN,TrackName,Artist,Released,Price,Time,Label
50,5.0,Pop,B01DDQP5S4,Keep Singing,Rick Astley,"October 7, 2016",$1.29,3:58,BMG Rights Management GmbH
50,5.0,Pop,B01DDQP5S4,Angels On My Side,Rick Astley,"October 7, 2016",$1.29,3:35,BMG Rights Management GmbH
50,0.0,Pop,B01DDQP5S4,Wish Away,Rick Astley,"October 7, 2016",$1.29,3:27,BMG Rights Management GmbH
50,0.3333333333333333,Pop,B01DDQP5S4,This Old House,Rick Astley,"October 7, 2016",$1.29,4:30,BMG Rights Management GmbH
50,0.6666666666666666,Pop,B01DDQP5S4,Pieces,Rick Astley,"October 7, 2016",$1.29,3:58,BMG Rights Management GmbH
50,4.666666666666667,Pop,B01DDQP5S4,Dance,Rick Astley,"October 7, 2016",$1.29,3:14,BMG Rights Management GmbH
50,0.0,Pop,B01DDQP5S4,I Like The Sun,Rick Astley,"October 7, 2016",$1.29,3:41,BMG Rights Management GmbH
50,0.0,Pop,B01DDQP5S4,Somebody Loves Me,Rick Astley,"October 7, 2016",$1.29,3:22,BMG Rights Management GmbH
50,0.3333333333333333,Pop,B01DDQP5S4,Let It Rain,Rick Astley,"October 7, 2016",$1.29,3:52,BMG Rights Management GmbH
50,0.3333333333333333,Pop,B01DDQP5S4,Pray With Me,Rick Astley,"October 7, 2016",$1.29,3:39,BMG Rights Management GmbH
50,0.3333333333333333,Pop,B01DDQP5S4,Coming Home Tonight,Rick Astley,"October 7, 2016",$1.29,3:28,BMG Rights Management GmbH
50,0.0,Pop,B01DDQP5S4,Let It Be Tonight,Rick Astley,"October 7, 2016",$1.29,3:48,BMG Rights Management GmbH
Title (Deluxe),0.3333333333333333,Pop,B00OIK4C5C,The Best Part (Interlude),Meghan Trainor,"January 13, 2015",$1.29,0:24,Epic
Title (Deluxe),5.0,Pop,B00OIK4C5C,All About That Bass,Meghan Trainor,"January 13, 2015",$1.29,3:07,Epic
Title (Deluxe),3.6666666666666665,Pop,B00OIK4C5C,Dear Future Husband,Meghan Trainor,"January 13, 2015",$1.29,3:04,Epic
Title (Deluxe),0.6666666666666666,Pop,B00OIK4C5C,Close Your Eyes,Meghan Trainor,"January 13, 2015",$1.29,3:40,Epic
Title (Deluxe),0.6666666666666666,Pop,B00OIK4C5C,3am,Meghan Trainor,"January 13, 2015",$1.29,3:05,Epic
Title (Deluxe),5.0,Pop,B00OIK4C5C,Like I'm Gonna Lose You,Meghan Trainor,"January 13, 2015",$1.29,3:45,Epic
Title (Deluxe),0.6666666666666666,Pop,B00OIK4C5C,Bang Dem Sticks,Meghan Trainor,"January 13, 2015",$1.29,3:01,Epic
Title (Deluxe),1.0,Pop,B00OIK4C5C,Walkashame,Meghan Trainor,"January 13, 2015",$1.29,2:58,Epic
Title (Deluxe),0.6666666666666666,Pop,B00OIK4C5C,Title,Meghan Trainor,"January 13, 2015",$1.29,2:54,Epic
Title (Deluxe),0.3333333333333333,Pop,B00OIK4C5C,What If I,Meghan Trainor,"January 13, 2015",$1.29,3:18,Epic
Title (Deluxe),3.333333333333333,Pop,B00OIK4C5C,Lips Are Movin,Meghan Trainor,"January 13, 2015",$1.29,3:02,Epic
Title (Deluxe),0.6666666666666666,Pop,B00OIK4C5C,No Good For You,Meghan Trainor,"January 13, 2015",$1.29,3:36,Epic
Title (Deluxe),0.6666666666666666,Pop,B00OIK4C5C,Mr. Almost,Meghan Trainor,"January 13, 2015",$1.29,3:16,Epic
Title (Deluxe),0.6666666666666666,Pop,B00OIK4C5C,My Selfish Heart,Meghan Trainor,"January 13, 2015",$1.29,3:46,Epic
Title (Deluxe),0.6666666666666666,Pop,B00OIK4C5C,Credit,Meghan Trainor,"January 13, 2015",$1.29,2:51,Epic
Cheers To The Fall,0.6666666666666666,"Pop,R&B,Soul",B00XY7PYJI,Forever Mine,Andra Day,"August 28, 2015",$1.29,3:19,Warner Bros./Buskin
Cheers To The Fall,0.3333333333333333,"Pop,R&B,Soul",B00XY7PYJI,Only Love,Andra Day,"August 28, 2015",$1.29,3:24,Warner Bros./Buskin
Cheers To The Fall,1.0,"Pop,R&B,Soul",B00XY7PYJI,Gold,Andra Day,"August 28, 2015",$1.29,3:45,Warner Bros./Buskin
Cheers To The Fall,0.3333333333333333,"Pop,R&B,Soul",B00XY7PYJI,Not Today,Andra Day,"August 28, 2015",$1.29,3:53,Warner Bros./Buskin
Cheers To The Fall,0.3333333333333333,"Pop,R&B,Soul",B00XY7PYJI,Mistakes,Andra Day,"August 28, 2015",$1.29,3:34,Warner Bros./Buskin
Cheers To The Fall,0.3333333333333333,"Pop,R&B,Soul",B00XY7PYJI,Goodbye Goodnight,Andra Day,"August 28, 2015",$1.29,4:27,Warner Bros./Buskin
Cheers To The Fall,0.3333333333333333,"Pop,R&B,Soul",B00XY7PYJI,Rearview,Andra Day,"August 28, 2015",$1.29,4:04,Warner Bros./Buskin
Cheers To The Fall,0.3333333333333333,"Pop,R&B,Soul",B00XY7PYJI,Red Flags,Andra Day,"August 28, 2015",$1.29,3:47,Warner Bros./Buskin
Cheers To The Fall,0.3333333333333333,"Pop,R&B,Soul",B00XY7PYJI,Honey Or Fire,Andra Day,"August 28, 2015",$1.29,3:18,Warner Bros./Buskin
Cheers To The Fall,0.3333333333333333,"Pop,R&B,Soul",B00XY7PYJI,Gin & Juice (Let Go My Hand),Andra Day,"August 28, 2015",$1.29,3:31,Warner Bros./Buskin
Cheers To The Fall,5.0,"Pop,R&B,Soul",B00XY7PYJI,Rise Up,Andra Day,"August 28, 2015",$1.29,4:13,Warner Bros./Buskin
Cheers To The Fall,0.3333333333333333,"Pop,R&B,Soul",B00XY7PYJI,City Burns,Andra Day,"August 28, 2015",$1.29,4:53,Warner Bros./Buskin
Cheers To The Fall,0.3333333333333333,"Pop,R&B,Soul",B00XY7PYJI,Cheers To The Fall,Andra Day,"August 28, 2015",$1.29,3:46,Warner Bros./Buskin
Off the Wall,5.0,"Dance & Electronic,Disco,Pop,Dance Pop,R&B,Funk,R&B,Motown,R&B,Soul,Rock",B00138KJY0,Don't Stop 'Til You Get Enough (Single Version),Michael Jackson,"September 6, 1983",$1.29,6:05,Epic
Off the Wall,4.333333333333334,"Dance & Electronic,Disco,Pop,Dance Pop,R&B,Funk,R&B,Motown,R&B,Soul,Rock",B00138KJY0,Rock with You (Single Version),Michael Jackson,"September 6, 1983",$1.29,3:40,Epic
Off the Wall,3.0,"Dance & Electronic,Disco,Pop,Dance Pop,R&B,Funk,R&B,Motown,R&B,Soul,Rock",B00138KJY0,Workin' Day and Night,Michael Jackson,"September 6, 1983",$1.29,5:13,Epic
Off the Wall,1.3333333333333333,"Dance & Electronic,Disco,Pop,Dance Pop,R&B,Funk,R&B,Motown,R&B,Soul,Rock",B00138KJY0,Get on the Floor,Michael Jackson,"September 6, 1983",$1.29,4:37,Epic
Off the Wall,3.333333333333333,"Dance & Electronic,Disco,Pop,Dance Pop,R&B,Funk,R&B,Motown,R&B,Soul,Rock",B00138KJY0,Off the Wall,Michael Jackson,"September 6, 1983",$1.29,4:06,Epic
Off the Wall,1.0,"Dance & Electronic,Disco,Pop,Dance Pop,R&B,Funk,R&B,Motown,R&B,Soul,Rock",B00138KJY0,Girlfriend,Michael Jackson,"September 6, 1983",$1.29,3:04,Epic
Off the Wall,1.3333333333333333,"Dance & Electronic,Disco,Pop,Dance Pop,R&B,Funk,R&B,Motown,R&B,Soul,Rock",B00138KJY0,She's out of My Life (Single Version),Michael Jackson,"September 6, 1983",$1.29,3:38,Epic
Off the Wall,1.6666666666666665,"Dance & Electronic,Disco,Pop,Dance Pop,R&B,Funk,R&B,Motown,R&B,Soul,Rock",B00138KJY0,I Can't Help It,Michael Jackson,"September 6, 1983",$1.29,4:29,Epic
Off the Wall,0.3333333333333333,"Dance & Electronic,Disco,Pop,Dance Pop,R&B,Funk,R&B,Motown,R&B,Soul,Rock",B00138KJY0,It's the Falling in Love,Michael Jackson,"September 6, 1983",$1.29,3:47,Epic
Off the Wall,0.6666666666666666,"Dance & Electronic,Disco,Pop,Dance Pop,R&B,Funk,R&B,Motown,R&B,Soul,Rock",B00138KJY0,Burn This Disco Out,Michael Jackson,"September 6, 1983",$1.29,3:41,Epic
The Essential Heart,0.0,"Classic Rock,Arena Rock,Pop,Rock",B00138CQR8,Crazy On You,Heart,"November 26, 2002",$1.29,4:54,Epic/Capitol/Legacy
The Essential Heart,0.0,"Classic Rock,Arena Rock,Pop,Rock",B00138CQR8,Magic Man,Heart,"November 26, 2002",$0.99,5:29,Epic/Capitol/Legacy
The Essential Heart,0.0,"Classic Rock,Arena Rock,Pop,Rock",B00138CQR8,Dreamboat Annie (reprise),Heart,"November 26, 2002",$0.99,3:48,Epic/Capitol/Legacy
The Essential Heart,5.0,"Classic Rock,Arena Rock,Pop,Rock",B00138CQR8,Barracuda,Heart,"November 26, 2002",$0.99,4:22,Epic/Capitol/Legacy
The Essential Heart,0.3333333333333333,"Classic Rock,Arena Rock,Pop,Rock",B00138CQR8,Little Queen,Heart,"November 26, 2002",$0.99,5:12,Epic/Capitol/Legacy
The Essential Heart,0.3333333333333333,"Classic Rock,Arena Rock,Pop,Rock",B00138CQR8,Kick It Out,Heart,"November 26, 2002",$0.99,2:44,Epic/Capitol/Legacy
The Essential Heart,0.6666666666666666,"Classic Rock,Arena Rock,Pop,Rock",B00138CQR8,Love Alive,Heart,"November 26, 2002",$0.99,4:22,Epic/Capitol/Legacy
The Essential Heart,0.0,"Classic Rock,Arena Rock,Pop,Rock",B00138CQR8,Heartless,Heart,"November 26, 2002",$0.99,5:00,Epic/Capitol/Legacy
The Essential Heart,2.3333333333333335,"Classic Rock,Arena Rock,Pop,Rock",B00138CQR8,Straight On,Heart,"November 26, 2002",$0.99,5:06,Epic/Capitol/Legacy
The Essential Heart,1.3333333333333333,"Classic Rock,Arena Rock,Pop,Rock",B00138CQR8,Dog & Butterfly,Heart,"November 26, 2002",$0.99,5:21,Epic/Capitol/Legacy
The Essential Heart,0.0,"Classic Rock,Arena Rock,Pop,Rock",B00138CQR8,Silver Wheels,Heart,"November 26, 2002",$0.99,1:22,Epic/Capitol/Legacy
The Essential Heart,1.0,"Classic Rock,Arena Rock,Pop,Rock",B00138CQR8,Even It Up,Heart,"November 26, 2002",$0.99,5:10,Epic/Capitol/Legacy
The Essential Heart,1.0,"Classic Rock,Arena Rock,Pop,Rock",B00138CQR8,Rock and Roll (Live),Heart,"November 26, 2002",$0.99,5:55,Epic/Capitol/Legacy
The Essential Heart,0.3333333333333333,"Classic Rock,Arena Rock,Pop,Rock",B00138CQR8,Tell It Like It Is,Heart,"November 26, 2002",$0.99,3:55,Epic/Capitol/Legacy
Life in a Paper Boat,0.0,"Folk,Pop,Singer-Songwriters",B01LWVBOPC,Benjamin Bowmaneer,Kate Rusby,"October 7, 2016",$1.29,3:49,Pure Records (Yorkshire) Ltd
Life in a Paper Boat,5.0,"Folk,Pop,Singer-Songwriters",B01LWVBOPC,Hunter Moon,Kate Rusby,"October 7, 2016",$1.29,5:01,Pure Records (Yorkshire) Ltd
Life in a Paper Boat,0.0,"Folk,Pop,Singer-Songwriters",B01LWVBOPC,The Ardent Shepherdess,Kate Rusby,"October 7, 2016",$1.29,3:47,Pure Records (Yorkshire) Ltd
Life in a Paper Boat,4.0,"Folk,Pop,Singer-Songwriters",B01LWVBOPC,Life in a Paper Boat,Kate Rusby,"October 7, 2016",$1.29,4:40,Pure Records (Yorkshire) Ltd
Life in a Paper Boat,0.0,"Folk,Pop,Singer-Songwriters",B01LWVBOPC,Only Desire What You Have,Kate Rusby,"October 7, 2016",$1.29,4:07,Pure Records (Yorkshire) Ltd
Life in a Paper Boat,0.0,"Folk,Pop,Singer-Songwriters",B01LWVBOPC,Hundred Hearts,Kate Rusby,"October 7, 2016",$1.29,4:14,Pure Records (Yorkshire) Ltd
Life in a Paper Boat,0.0,"Folk,Pop,Singer-Songwriters",B01LWVBOPC,The Mermaid,Kate Rusby,"October 7, 2016",$1.29,4:30,Pure Records (Yorkshire) Ltd
Life in a Paper Boat,0.0,"Folk,Pop,Singer-Songwriters",B01LWVBOPC,Pace Egging Song,Kate Rusby,"October 7, 2016",$1.29,3:40,Pure Records (Yorkshire) Ltd
Life in a Paper Boat,4.0,"Folk,Pop,Singer-Songwriters",B01LWVBOPC,The Witch of the Westmorland,Kate Rusby,"October 7, 2016",$1.29,6:34,Pure Records (Yorkshire) Ltd
Life in a Paper Boat,0.0,"Folk,Pop,Singer-Songwriters",B01LWVBOPC,I'll Be Wise,Kate Rusby,"October 7, 2016",$1.29,5:07,Pure Records (Yorkshire) Ltd
Life in a Paper Boat,5.0,"Folk,Pop,Singer-Songwriters",B01LWVBOPC,Night Lament,Kate Rusby,"October 7, 2016",$1.29,5:06,Pure Records (Yorkshire) Ltd
Life in a Paper Boat,0.0,"Folk,Pop,Singer-Songwriters",B01LWVBOPC,Big Brave Bill,Kate Rusby,"October 7, 2016",$1.29,3:42,Pure Records (Yorkshire) Ltd
The Human Condition [Explicit],0.3333333333333333,Pop,B01F9W9A5O,He Is The Same,Jon Bellion,"June 10, 2016",$1.29,4:01,Capitol Records (CAP)
The Human Condition [Explicit],0.3333333333333333,Pop,B01F9W9A5O,80's Films,Jon Bellion,"June 10, 2016",$1.29,3:36,Capitol Records (CAP)
The Human Condition [Explicit],5.0,Pop,B01F9W9A5O,All Time Low [Explicit],Jon Bellion,"June 10, 2016",$0.69,3:37,Capitol Records (CAP)
The Human Condition [Explicit],0.3333333333333333,Pop,B01F9W9A5O,New York Soul (Pt. ii),Jon Bellion,"June 10, 2016",$1.29,4:27,Capitol Records (CAP)
The Human Condition [Explicit],0.3333333333333333,Pop,B01F9W9A5O,Fashion,Jon Bellion,"June 10, 2016",$1.29,3:55,Capitol Records (CAP)
The Human Condition [Explicit],0.3333333333333333,Pop,B01F9W9A5O,Maybe IDK,Jon Bellion,"June 10, 2016",$1.29,3:53,Capitol Records (CAP)
The Human Condition [Explicit],1.0,Pop,B01F9W9A5O,Woke The F*ck Up [Explicit],Jon Bellion,"June 10, 2016",$1.29,3:39,Capitol Records (CAP)
The Human Condition [Explicit],0.6666666666666666,Pop,B01F9W9A5O,Overwhelming,Jon Bellion,"June 10, 2016",$1.29,2:52,Capitol Records (CAP)
The Human Condition [Explicit],0.3333333333333333,Pop,B01F9W9A5O,Weight Of The World [feat. Blaque Keyz],Jon Bellion,"June 10, 2016",$1.29,4:30,Capitol Records (CAP)
The Human Condition [Explicit],0.3333333333333333,Pop,B01F9W9A5O,The Good In Me,Jon Bellion,"June 10, 2016",$1.29,3:43,Capitol Records (CAP)
The Human Condition [Explicit],0.3333333333333333,Pop,B01F9W9A5O,Morning In America,Jon Bellion,"June 10, 2016",$1.29,4:25,Capitol Records (CAP)
The Human Condition [Explicit],0.3333333333333333,Pop,B01F9W9A5O,iRobot,Jon Bellion,"June 10, 2016",$1.29,3:28,Capitol Records (CAP)
The Human Condition [Explicit],1.3333333333333333,Pop,B01F9W9A5O,Guillotine [feat. Travis Mendes],Jon Bellion,"June 10, 2016",$1.29,3:28,Capitol Records (CAP)
The Human Condition [Explicit],0.3333333333333333,Pop,B01F9W9A5O,Hand Of God (Outro),Jon Bellion,"June 10, 2016",$1.29,5:37,Capitol Records (CAP)
Thank You (Deluxe),0.6666666666666666,Pop,B01CEZ5706,Watch Me Do,Meghan Trainor,"May 13, 2016",$1.29,2:49,Epic
Thank You (Deluxe),5.0,Pop,B01CEZ5706,Me Too,Meghan Trainor,"May 13, 2016",$1.29,3:01,Epic
Thank You (Deluxe),3.6666666666666665,Pop,B01CEZ5706,NO,Meghan Trainor,"May 13, 2016",$1.29,3:33,Epic
Thank You (Deluxe),1.3333333333333333,Pop,B01CEZ5706,Better,Meghan Trainor,"May 13, 2016",$1.29,2:47,Epic
Thank You (Deluxe),0.3333333333333333,Pop,B01CEZ5706,Hopeless Romantic,Meghan Trainor,"May 13, 2016",$1.29,4:05,Epic
Thank You (Deluxe),1.0,Pop,B01CEZ5706,I Love Me,Meghan Trainor,"May 13, 2016",$1.29,2:47,Epic
Thank You (Deluxe),0.3333333333333333,Pop,B01CEZ5706,Kindly Calm Me Down,Meghan Trainor,"May 13, 2016",$1.29,3:58,Epic
Thank You (Deluxe),0.3333333333333333,Pop,B01CEZ5706,Woman Up,Meghan Trainor,"May 13, 2016",$1.29,3:28,Epic
Thank You (Deluxe),0.3333333333333333,Pop,B01CEZ5706,Just a Friend to You,Meghan Trainor,"May 13, 2016",$1.29,2:44,Epic
Thank You (Deluxe),0.3333333333333333,Pop,B01CEZ5706,I Won't Let You Down,Meghan Trainor,"May 13, 2016",$1.29,3:20,Epic
Thank You (Deluxe),0.6666666666666666,Pop,B01CEZ5706,Dance Like Yo Daddy,Meghan Trainor,"May 13, 2016",$1.29,3:03,Epic
Thank You (Deluxe),0.3333333333333333,Pop,B01CEZ5706,Champagne Problems,Meghan Trainor,"May 13, 2016",$1.29,3:42,Epic
Thank You (Deluxe),1.0,Pop,B01CEZ5706,Mom,Meghan Trainor,"May 13, 2016",$1.29,3:15,Epic
Thank You (Deluxe),0.3333333333333333,Pop,B01CEZ5706,Friends,Meghan Trainor,"May 13, 2016",$1.29,3:30,Epic
Thank You (Deluxe),0.3333333333333333,Pop,B01CEZ5706,Thank You,Meghan Trainor,"May 13, 2016",$1.29,3:25,Epic
