Album,Rating,Genres,TrackName,Artist,Released,Price,Time,Label
Everybody (Bonus Track Version),4.61282,"Pop,Music",Men of Snow,Ingrid Michaelson,"Aug 25, 2009",$0.99,4:33,℗ 2009 Cabin 24 Records
Girls and Boys,4.36923,"Pop,Music,Alternative,College Rock,Indie Rock,Pop/Rock,Singer/Songwriter,Contemporary Singer/Songwriter,Rock,Adult Alternative",Corner of Your Heart,Ingrid Michaelson,"Jun 28, 2007",$0.99,3:07,℗ 2007 Ingrid Michaelson
Christmas Pop,,"Christmas: Pop,Music,Holiday",Winter Song,Sara Bareilles & Ingrid Michaelson,"Sep 09, 2016",,4:26,℗ This compilation (P) 2016 Sony Music Entertainment
The Magic Strings of Frankie Presto: The Musical Companion,,"Soundtrack,Music","Our Secret (From ""The Magic Strings Of Frankie Presto: The Musical Companion"")",Ingrid Michaelson,"Nov 06, 2015",,3:53,"℗ 2015 Republic Records, a division of UMG Recordings, Inc."
Girls and Boys,4.36923,"Pop,Music,Alternative,College Rock,Indie Rock,Pop/Rock,Singer/Songwriter,Contemporary Singer/Songwriter,Rock,Adult Alternative",Die Alone,Ingrid Michaelson,"Jun 28, 2007",$0.99,4:21,℗ 2007 Ingrid Michaelson
Girls and Boys,4.36923,"Pop,Music,Alternative,College Rock,Indie Rock,Pop/Rock,Singer/Songwriter,Contemporary Singer/Songwriter,Rock,Adult Alternative",Masochist,Ingrid Michaelson,"Jun 28, 2007",$0.99,4:11,℗ 2007 Ingrid Michaelson
Girls and Boys,4.36923,"Pop,Music,Alternative,College Rock,Indie Rock,Pop/Rock,Singer/Songwriter,Contemporary Singer/Songwriter,Rock,Adult Alternative",Breakable,Ingrid Michaelson,"Jun 28, 2007",$0.99,3:09,℗ 2007 Ingrid Michaelson
Girls and Boys,4.36923,"Pop,Music,Alternative,College Rock,Indie Rock,Pop/Rock,Singer/Songwriter,Contemporary Singer/Songwriter,Rock,Adult Alternative",The Hat,Ingrid Michaelson,"Jun 28, 2007",$0.99,3:45,℗ 2007 Ingrid Michaelson
Girls and Boys,4.36923,"Pop,Music,Alternative,College Rock,Indie Rock,Pop/Rock,Singer/Songwriter,Contemporary Singer/Songwriter,Rock,Adult Alternative",Overboard,Ingrid Michaelson,"Jun 28, 2007",$0.99,4:06,℗ 2007 Ingrid Michaelson
Girls and Boys,4.36923,"Pop,Music,Alternative,College Rock,Indie Rock,Pop/Rock,Singer/Songwriter,Contemporary Singer/Songwriter,Rock,Adult Alternative",Glass,Ingrid Michaelson,"Jun 28, 2007",$0.99,3:04,℗ 2007 Ingrid Michaelson
Girls and Boys,4.36923,"Pop,Music,Alternative,College Rock,Indie Rock,Pop/Rock,Singer/Songwriter,Contemporary Singer/Songwriter,Rock,Adult Alternative",Starting Now,Ingrid Michaelson,"Jun 28, 2007",$0.99,4:52,℗ 2007 Ingrid Michaelson
Girls and Boys,4.36923,"Pop,Music,Alternative,College Rock,Indie Rock,Pop/Rock,Singer/Songwriter,Contemporary Singer/Songwriter,Rock,Adult Alternative",December Baby,Ingrid Michaelson,"Jun 28, 2007",$0.99,5:53,℗ 2007 Ingrid Michaelson
